일차,구분,뜻,표기
1일차,명사,인사,あいさつ
1일차,명사,"사이, 동안","間 (あいだ)"
1일차,명사,아기,"赤ちゃん (あかちゃん)"
1일차,명사,턱,あご
1일차,명사,맛,"味 (あじ)"
1일차,명사,발소리,"足音 (あしおと)"
1일차,명사,내일,"明日 (あす)"
1일차,명사,땀,"汗 (あせ)"
1일차,명사,놀이,"遊び (あそび)"
1일차,명사,더위,"暑さ (あつさ)"
1일차,명사,사탕,"飴 (あめ)"
1일차,명사,안심,"安心 (あんしん)"
1일차,명사,안내,"案内 (あんない)"
1일차,명사,이하,"以下 (いか)"
1일차,명사,이외,"以外 (いがい)"
1일차,명사,의학,"医学 (いがく)"
1일차,명사,"생활 방식, 삶의 방식","生き方 (いきかた)"
1일차,명사,"가는 법, 가는 길","行き方 (いきかた)"
1일차,명사,의견,"意見 (いけん)"
1일차,명사,돌,"石 (いし)"
1일차,명사,이상,"以上 (いじょう)"
1일차,명사,한 번,"一度 (いちど)"
1일차,명사,하루 종일,"一日中 (いちにちじゅう)"
1일차,명사,실,"糸 (いと)"
1일차,명사,이내,"以内 (いない)"
1일차,명사,시골,"田舎 (いなか)"
1일차,명사,"생명, 목숨","命 (いのち)"
1일차,명사,거실,"居間 (いま)"
1일차,명사,색지,"色紙 (いろがみ)"
1일차,명사,음주,"飲酒 (いんしゅ)"
1일차,명사,접수,"受付 (うけつけ)"
1일차,명사,거짓말,"嘘 (うそ)"
1일차,명사,"안, 속","内 (うち)"
1일차,명사,안쪽,"内側 (うちがわ)"
1일차,명사,팔,"腕 (うで)"
1일차,명사,"뒤, 뒷면","裏 (うら)"
1일차,명사,"매장, 파는 곳","売り場 (うりば)"
1일차,명사,운,"運 (うん)"
1일차,명사,운전,"運転 (うんてん)"
1일차,명사,운전기사,"運転手 (うんてんしゅ)"
1일차,명사,운동,"運動 (うんどう)"
1일차,명사,운동회,"運動会 (うんどうかい)"
2일차,명사,영어 회화,"英会話 (えいかいわ)"
2일차,명사,영화관,"映画館 (えいがかん)"
2일차,명사,영업,"営業 (えいぎょう)"
2일차,명사,역무원,"駅員 (えきいん)"
2일차,명사,나뭇가지,"枝 (えだ)"
2일차,명사,"사양, 겸손","遠慮 (えんりょ)"
2일차,명사,축하,"お祝い (おいわい)"
2일차,명사,횡단보도,"横断歩道 (おうだんほどう)"
2일차,명사,"큰 비, 호우","大雨 (おおあめ)"
2일차,명사,폭설,"大雪 (おおゆき)"
2일차,명사,덕분,おかげ
2일차,명사,억,"億 (おく)"
2일차,명사,"부인, 사모님","奥様 (おくさま)"
2일차,명사,옥상,"屋上 (おくじょう)"
2일차,명사,선물,"贈り物 (おくりもの)"
2일차,명사,"자제분, 아이","お子さん (おこさん)"
2일차,명사,"아저씨, 삼촌",おじ
2일차,명사,벽장,"押入れ (おしいれ)"
2일차,명사,"끝, 마지막",おしまい
2일차,명사,따님,"お嬢さん (おじょうさん)"
2일차,명사,댁,"お宅 (おたく)"
2일차,명사,남편,"夫 (おっと)"
2일차,명사,거스름돈,おつり
2일차,명사,화장실,"お手洗い (おてあらい)"
2일차,명사,외출,"お出かけ (おでかけ)"
2일차,명사,소리,"音 (おと)"
2일차,명사,분실물,"落し物 (おとしもの)"
2일차,명사,노인,"お年寄り (おとしより)"
2일차,명사,춤,"踊り (おどり)"
2일차,명사,"아주머니, 이모",おば
2일차,명사,축제,"お祭り (おまつり)"
2일차,명사,병문안,"お見舞い (おみまい)"
2일차,명사,"선물, 기념품","お土産 (おみやげ)"
2일차,명사,추억,"思い出 (おもいで)"
2일차,명사,장난감,おもちゃ
2일차,명사,"겉, 앞면","表 (おもて)"
2일차,명사,끝,"終わり (おわり)"
2일차,명사,해안,"海岸 (かいがん)"
2일차,명사,회의,"会議 (かいぎ)"
2일차,명사,회의실,"会議室 (かいぎしつ)"
2일차,명사,외국,"外国 (がいこく)"
2일차,명사,"회장, 행사장","会場 (かいじょう)"
3일차,명사,외식,"外食 (がいしょく)"
3일차,명사,외부,"外部 (がいぶ)"
3일차,명사,회화,"会話 (かいわ)"
3일차,명사,"돌아감, 돌아옴","帰り (かえり)"
3일차,명사,과학,"科学 (かがく)"
3일차,명사,거울,"鏡 (かがみ)"
3일차,명사,쓰는 법,"書き方 (かきかた)"
3일차,명사,장식,"飾り (かざり)"
3일차,명사,화재,"火事 (かじ)"
3일차,명사,가수,"歌手 (かしゅ)"
3일차,명사,"수, 숫자","数 (かず)"
3일차,명사,가스 요금,"ガス代 (ガスだい)"
3일차,명사,어깨,"肩 (かた)"
3일차,명사,"모양, 형태","形 (かたち)"
3일차,명사,과장,"課長 (かちょう)"
3일차,명사,"모습, 옷차림","格好 (かっこう)"
3일차,명사,가정,"家庭 (かてい)"
3일차,명사,아내,"家内 (かない)"
3일차,명사,부자,"金持ち (かねもち)"
3일차,대명사,"그녀, 여자친구","彼女 (かのじょ)"
3일차,명사,벽,"壁 (かべ)"
3일차,명사,머리카락,"髪 (かみ)"
3일차,대명사,"그, 남자친구","彼 (かれ)"
3일차,대명사,그들,"彼ら (かれら)"
3일차,명사,"대신, 대리","代わり (かわり)"
3일차,명사,"사고방식, 가치관","考え方 (かんがえかた)"
3일차,명사,관계,"関係 (かんけい)"
3일차,명사,간호사,"看護師 (かんごし)"
3일차,명사,"기운, 정신, 마음","気 (き)"
3일차,명사,기계,"機械 (きかい)"
3일차,명사,기간,"期間 (きかん)"
3일차,명사,듣기,"聞き取り (ききとり)"
3일차,명사,귀국,"帰国 (きこく)"
3일차,명사,기자,"記者 (きしゃ)"
3일차,명사,기차,"汽車 (きしゃ)"
3일차,명사,기술,"技術 (ぎじゅつ)"
3일차,명사,계절,"季節 (きせつ)"
3일차,명사,규칙,"規則 (きそく)"
3일차,명사,"비단, 실크","絹 (きぬ)"
3일차,명사,기분,"気分 (きぶん)"
3일차,대명사,"너, 자네","君 (きみ)"
3일차,명사,"기분, 마음","気持ち (きもち)"
3일차,명사,기모노,"着物 (きもの)"
3일차,명사,손님,"客 (きゃく)"
4일차,명사,급행,"急行 (きゅうこう)"
4일차,명사,교육,"教育 (きょういく)"
4일차,명사,교회,"教会 (きょうかい)"
4일차,명사,흥미,"興味 (きょうみ)"
4일차,명사,금붕어,"金魚 (きんぎょ)"
4일차,명사,"근처, 이웃","近所 (きんじょ)"
4일차,명사,상태,"具合 (ぐあい)"
4일차,명사,공기,"空気 (くうき)"
4일차,명사,공항,"空港 (くうこう)"
4일차,명사,풀,"草 (くさ)"
4일차,명사,목,"首 (くび)"
4일차,명사,구름,"雲 (くも)"
4일차,명사,흐림,"曇り (くもり)"
4일차,명사,구청,"区役所 (くやくしょ)"
4일차,명사,군인,"軍人 (ぐんじん)"
4일차,명사,털,"毛 (け)"
