일차,구분,뜻,표기
3일차,명사,화재,"火災 (かさい)"
3일차,명사,대출,"貸し出し (かしだし)"
3일차,명사,하천,"河川 (かせん)"
3일차,명사,과제,"課題 (かだい)"
3일차,명사,여러분,"方々 (かたがた)"
3일차,명사,한쪽,"片方 (かたほう)"
3일차,명사,편도,"片道 (かたみち)"
3일차,명사,이김, 승리,"勝ち (かち)"
3일차,명사,가치,"価値 (かち)"
3일차,명사,활기,"活気 (かっき)"
3일차,명사,악기,"楽器 (がっき)"
3일차,명사,활동,"活動 (かつどう)"
3일차,명사,가정,"仮定 (かてい)"
3일차,명사,가전제품,"家電製品 (かでんせいひん)"
3일차,명사,슬픔,"悲しみ (かなしみ)"
3일차,명사,참음, 인내,"我慢 (がまん)"
3일차,명사,신,"神 (かみ)"
3일차,명사,화면,"画面 (がめん)"
3일차,명사,과목,"科目 (かもく)"
3일차,명사,빔, 공백,"空 (から)"
3일차,명사,텅 빔,"空っぽ (からっぽ)"
3일차,명사,캔,"缶 (かん)"
3일차,명사,생각,"考え (かんがえ)"
3일차,명사,감각,"感覚 (かんかく)"
3일차,명사,간격,"間隔 (かんかく)"
3일차,명사,환경,"環境 (かんきょう)"
3일차,명사,환영회,"歓迎会 (かんげいかい)"
3일차,명사,관광,"観光 (かんこう)"
3일차,명사,간호사,"看護師 (かんごし)"
3일차,명사,느낌,"感じ (かんじ)"
3일차,명사,감사,"感謝 (かんしゃ)"
3일차,명사,환자,"患者 (かんじゃ)"
3일차,명사,감정,"感情 (かんじょう)"
3일차,명사,감탄,"感心 (かんしん)"
3일차,명사,관심,"関心 (かんしん)"
3일차,명사,완성,"完成 (かんせい)"
3일차,명사,간접,"間接 (かんせつ)"
3일차,명사,감상,"感想 (かんそう)"
3일차,명사,감동,"感動 (かんどう)"
3일차,명사,건배,"乾杯 (かんぱい)"
3일차,명사,완료,"完了 (かんりょう)"
3일차,명사,기온,"気温 (きおん)"
3일차,명사,기회,"機会 (きかい)"
3일차,명사,기한,"期限 (きげん)"
3일차,명사,기사,"記事 (きじ)"
3일차,명사,상처,"傷 (きず)"
3일차,명사,기대,"期待 (きたい)"
3일차,명사,기체,"気体 (きたい)"
3일차,명사,귀가,"帰宅 (きたく)"
3일차,명사,흡연석,"喫煙席 (きつえんせき)"
3일차,명사,기입,"記入 (きにゅう)"
3일차,명사,기념,"記念 (きねん)"
3일차,명사,희망,"希望 (きぼう)"
3일차,명사,규칙, 결정,"決まり (きまり)"
3일차,명사,의문,"疑問 (ぎもん)"
3일차,명사,반대, 거꾸로,"逆 (ぎゃく)"
4일차,명사,휴가,"休暇 (きゅうか)"
4일차,명사,휴업,"休業 (きゅうぎょう)"
4일차,명사,휴게,"休憩 (きゅうけい)"
4일차,명사,휴일,"休日 (きゅうじつ)"
4일차,명사,급식,"給食 (きゅうしょく)"
4일차,명사,급브레이크,"急ブレーキ (きゅうブレーキ)"
4일차,명사,급여,"給与 (きゅうよ)"
4일차,명사,휴양,"休養 (きゅうよう)"
4일차,명사,급료,"給料 (きゅうりょう)"
4일차,명사,~행,"~行 (~ぎょう)"
4일차,명사,강화,"強化 (きょうか)"
4일차,명사,교과서,"教科書 (きょうかしょ)"
4일차,명사,교사,"教師 (きょうし)"
4일차,명사,행사,"行事 (ぎょうじ)"
4일차,명사,교수,"教授 (きょうじゅ)"
4일차,명사,경쟁,"競争 (きょうそう)"
4일차,명사,강조,"強調 (きょうちょう)"
4일차,명사,공통,"共通 (きょうつう)"
4일차,명사,협력,"協力 (きょうりょく)"
4일차,명사,허가,"許可 (きょか)"
4일차,명사,거리,"距離 (きょり)"
4일차,명사,기록,"記録 (きろく)"
4일차,명사,금연,"禁煙 (きんえん)"
4일차,명사,금연석,"禁煙席 (きんえんせき)"
4일차,명사,근시,"近視 (きんし)"
4일차,명사,금지,"禁止 (きんし)"
4일차,명사,긴장,"緊張 (きんちょう)"
4일차,명사,근무,"勤務 (きんむ)"
4일차,명사,구역,"区域 (くいき)"
4일차,명사,공석,"空席 (くうせき)"
4일차,명사,구간,"区間 (くかん)"
4일차,명사,제비뽑기,くじ
4일차,명사,재채기,くしゃみ
4일차,명사,약지,"薬指 (くすりゆび)"
4일차,명사,버릇,"癖 (くせ)"
4일차,명사,하행,"下り (くだり)"
4일차,명사,립스틱,"口紅 (くちべに)"
4일차,명사,구별,"区別 (くべつ)"
4일차,명사,살림, 생활,"暮らし (くらし)"
4일차,명사,반복, 되풀이,"くり返し (くりかえし)"
4일차,명사,고생,"苦労 (くろう)"
4일차,명사,경영,"経営 (けいえい)"
4일차,명사,경찰관,"警察官 (けいさつかん)"
4일차,명사,경찰서,"警察署 (けいさつしょ)"
4일차,명사,계산,"計算 (けいさん)"
4일차,명사,예술,"芸術 (げいじゅつ)"
4일차,명사,휴대,"携帯 (けいたい)"
4일차,명사,털실,"毛糸 (けいと)"
4일차,명사,계통,"系統 (けいとう)"
4일차,명사,계약,"契約 (けいやく)"
4일차,명사,경유,"経由 (けいゆ)"
4일차,명사,외과,"外科 (げか)"
4일차,명사,하순,"下旬 (げじゅん)"
4일차,명사,화장,"化粧 (けしょう)"
4일차,명사,하수,"下水 (げすい)"
4일차,명사,혈액,"血液 (けつえき)"
4일차,명사,혈액형,"血液型 (けつえきがた)"
4일차,명사,결국,"結局 (けっきょく)"
4일차,명사,결심,"決心 (けっしん)"
4일차,명사,결정,"決定 (けってい)"
4일차,명사,결점,"欠点 (けってん)"
4일차,명사,결론,"結論 (けつろん)"
4일차,명사,연기,"煙 (けむり)"
4일차,명사,한계,"限界 (げんかい)"
4일차,명사,현금,"現金 (げんきん)"
4일차,명사,언어,"言語 (げんご)"
5일차,명사,건강,"健康 (けんこう)"
5일차,명사,검사,"検査 (けんさ)"
5일차,명사,현재,"現在 (げんざい)"
5일차,명사,현실,"現実 (げんじつ)"
5일차,명사,감소,"減少 (げんしょう)"
5일차,명사,건설,"建設 (けんせつ)"
5일차,명사,현대,"現代 (げんだい)"
5일차,명사,한도,"限度 (げんど)"
5일차,명사,원료,"原料 (げんりょう)"
5일차,명사,사랑,"恋 (こい)"
5일차,명사,연인,"恋人 (こいびと)"
5일차,명사,행운,"幸運 (こううん)"
5일차,명사,효과,"効果 (こうか)"
5일차,명사,공학,"工学 (こうがく)"
5일차,명사,합격,"合格 (ごうかく)"
5일차,명사,교환,"交換 (こうかん)"
5일차,명사,고급,"高級 (こうきゅう)"
5일차,명사,공공요금,"公共料金 (こうきょうりょうきん)"
5일차,명사,합계,"合計 (ごうけい)"
5일차,명사,효행,"孝行 (こうこう)"
5일차,명사,광고,"広告 (こうこく)"
5일차,명사,교제,"交際 (こうさい)"
5일차,명사,고속도로,"高速道路 (こうそくどうろ)"
5일차,명사,순조로움,"好調 (こうちょう)"
5일차,명사,교통사고,"交通事故 (こうつうじこ)"
5일차,명사,교통비,"交通費 (こうつうひ)"
5일차,명사,교정 (운동장),"校庭 (こうてい)"
5일차,명사,행동,"行動 (こうどう)"
5일차,명사,합동,"合同 (ごうどう)"
5일차,명사,후배,"後輩 (こうはい)"
5일차,명사,후반,"後半 (こうはん)"
5일차,명사,행복,"幸福 (こうふく)"
5일차,명사,단풍,"紅葉 (こうよう)"
5일차,명사,공립,"公立 (こうりつ)"
5일차,명사,합류,"合流 (ごうりゅう)"
5일차,명사,효력,"効力 (こうりょく)"
5일차,명사,고령자,"高齢者 (こうれいしゃ)"
5일차,명사,오해,"誤解 (ごかい)"
5일차,명사,어학,"語学 (ごがく)"
5일차,명사,호흡,"呼吸 (こきゅう)"
5일차,명사,고향,"故郷 (こきょう)"
5일차,명사,국어,"国語 (こくご)"
5일차,명사,칠판,"黒板 (こくばん)"
5일차,명사,작은 목소리,"小声 (こごえ)"
5일차,명사,허리,"腰 (こし)"
5일차,명사,육아,"子育て (こそだて)"
5일차,명사,국회,"国会 (こっかい)"
5일차,명사,소포,"小包 (こづつみ)"
5일차,명사,취향,"好み (このみ)"
5일차,명사,새끼손가락,"小指 (こゆび)"
5일차,명사,이후,"今後 (こんご)"
5일차,명사,혼잡,"混雑 (こんざつ)"
5일차,명사,혼란,"混乱 (こんらん)"
5일차,명사,차이,"差 (さ)"
5일차,명사,최고,"最高 (さいこう)"
5일차,명사,국경일,"祭日 (さいじつ)"
5일차,명사,최신,"最新 (さいしん)"
5일차,명사,재생,"再生 (さいせい)"
5일차,명사,최저,"最低 (さいてい)"
5일차,명사,채점,"採点 (さいてん)"
5일차,명사,재능,"才能 (さいのう)"
5일차,명사,재이용,"再利用 (さいりよう)"
5일차,명사,재료,"材料 (ざいりょう)"
5일차,명사,그끄저께,"一昨々日 (さきおととい)"
6일차,명사,작업,"作業 (さぎょう)"
6일차,명사,작자,"作者 (さくしゃ)"
6일차,명사,작년,"昨年 (さくねん)"
6일차,명사,어젯밤,"昨夜 (さくや)"
6일차,명사,발신인,"差出人 (さしだしにん)"
6일차,명사,좌석,"座席 (ざせき)"
6일차,명사,좌회전,"左折 (させつ)"
6일차,명사,작가,"作家 (さっか)"
6일차,명사,작곡,"作曲 (さっきょく)"
6일차,명사,살인,"殺人 (さつじん)"
6일차,명사,접시,"皿 (さら)"
6일차,명사,원숭이,"猿 (さる)"
6일차,명사,소동,"騒ぎ (さわぎ)"
6일차,명사,출산,"産 (さん)"
6일차,명사,참가,"参加 (さんか)"
6일차,명사,잔업,"残業 (ざんぎょう)"
6일차,명사,시,"詩 (し)"
6일차,명사,사원 (절),"寺院 (じいん)"
6일차,명사,사회 (진행자),"司会 (しかい)"
6일차,명사,다음 번,"次回 (じかい)"
6일차,명사,시간표,"時間割 (じかんわり)"
6일차,명사,사계절,"四季 (しき)"
6일차,명사,지급,"支給 (しきゅう)"
6일차,명사,사건,"事件 (じけん)"
6일차,명사,사후,"死後 (しご)"
6일차,명사,사후,"事後 (じご)"
6일차,명사,시각,"時刻 (じこく)"
6일차,명사,시간표,"時刻表 (じこくひょう)"
6일차,명사,지시,"指示 (しじ)"
6일차,명사,지사,"支社 (ししゃ)"
6일차,명사,자습,"自習 (じしゅう)"
6일차,명사,차녀,"次女 (じじょ)"
6일차,명사,사정,"事情 (じじょう)"
6일차,명사,시인,"詩人 (しじん)"
6일차,명사,자신,"自信 (じしん)"
6일차,명사,자연,"自然 (しぜん)"
6일차,명사,사전,"事前 (じぜん)"
6일차,명사,시속,"時速 (じそく)"
6일차,명사,초고, 밑그림,"下書き (したがき)"
