일차,구분,뜻,표기
7일차,명사,"먼저, 앞","先 (さき)"
7일차,명사,작문,"作文 (さくぶん)"
7일차,명사,잡지,"雑誌 (ざっし)"
7일차,명사,산책,"散歩 (さんぽ)"
7일차,명사,소금,"塩 (しお)"
7일차,명사,시간,"時間 (じかん)"
7일차,명사,"일, 직업","仕事 (しごと)"
7일차,명사,사전,"辞書 (じしょ)"
7일차,명사,아래,"下 (した)"
7일차,명사,사진,"写真 (しゃしん)"
7일차,명사,숙제,"宿題 (しゅくだい)"
7일차,명사,식당,"食堂 (しょくどう)"
7일차,명사,신문,"新聞 (しんぶん)"
7일차,명사,초밥,すし
7일차,명사,"등, 키","背 (せ)"
7일차,명사,학생,"生徒 (せいと)"
7일차,명사,비누,せっけん
7일차,수사,천,"千 (せん)"
8일차,명사,지난달,"先月 (せんげつ)"
8일차,명사,지난주,"先週 (せんしゅう)"
8일차,명사,선생님,"先生 (せんせい)"
8일차,대명사,거기,そこ
8일차,대명사,그쪽 (정중),そちら
8일차,명사,밖,"外 (そと)"
8일차,명사,옆,"側 (そば)"
8일차,명사,하늘,"空 (そら)"
8일차,대명사,그것,それ
8일차,명사,대학,"大学 (だいがく)"
8일차,명사,부엌,"台所 (だいどころ)"
8일차,명사,건물,"建物 (たてもの)"
8일차,명사,담배,たばこ
8일차,명사,음식,"食べ物 (たべもの)"
8일차,명사,"계란, 달걀",たまご
8일차,의문사,누구,だれ
8일차,명사,생일,"誕生日 (たんじょうび)"
8일차,명사,근처,"近く (ちかく)"
8일차,명사,지하철,"地下鉄 (ちかてつ)"
9일차,명사,지도,"地図 (ちず)"
9일차,명사,아버지,"父 (ちち)"
9일차,명사,다음,"次 (つぎ)"
9일차,명사,책상,つくえ
9일차,명사,만드는 법,"作り方 (つくりかた)"
9일차,명사,손,"手 (て)"
9일차,명사,편지,"手紙 (てがみ)"
9일차,명사,출구,"出口 (でぐち)"
9일차,명사,날씨,"天気 (てんき)"
9일차,명사,전기,"電気 (でんき)"
9일차,명사,전철,"電車 (でんしゃ)"
9일차,명사,전화,"電話 (でんわ)"
9일차,명사,동물,"動物 (どうぶつ)"
9일차,명사,시계,"時計 (とけい)"
9일차,의문사,어디,どこ
9일차,명사,장소,ところ
9일차,명사,"해, 년","年 (とし)"
9일차,명사,도서관,"図書館 (としょかん)"
9일차,의문사,어느 쪽,どちら
9일차,의문사,누구 (정중),どなた
9일차,명사,옆,となり
9일차,명사,친구,"友だち (ともだち)"
10일차,명사,새,"鳥 (とり)"
10일차,명사,닭고기,"鶏肉 (とりにく)"
10일차,의문사,어느 것,どれ
10일차,명사,"안, 속","中 (なか)"
10일차,명사,여름,"夏 (なつ)"
10일차,명사,여름방학,"夏休み (なつやすみ)"
10일차,의문사,무엇,"何 (なに/なん)"
10일차,명사,이름,"名前 (なまえ)"
10일차,명사,고기,"肉 (にく)"
10일차,명사,서쪽,"西 (にし)"
10일차,명사,일본어,"日本語 (にほんご)"
10일차,명사,일본인,"日本人 (にほんじん)"
10일차,명사,마당,"庭 (にわ)"
10일차,명사,고양이,"猫 (ねこ)"
10일차,명사,"마실 것, 음료","飲み物 (のみもの)"
10일차,명사,재떨이,"灰皿 (はいざら)"
10일차,명사,엽서,"葉書 (はがき)"
10일차,명사,스무 살,"二十歳 (はたち)"
11일차,명사,코,"鼻 (はな)"
11일차,명사,꽃,"花 (はな)"
11일차,명사,이야기,"話 (はなし)"
11일차,명사,어머니,"母 (はは)"
11일차,명사,봄,"春 (はる)"
11일차,명사,번호,"番号 (ばんごう)"
11일차,명사,저녁밥,"晩ご飯 (ばんごはん)"
11일차,명사,절반,"半分 (はんぶん)"
11일차,명사,동쪽,"東 (ひがし)"
11일차,명사,비행기,"飛行機 (ひこうき)"
11일차,명사,사람,"人 (ひと)"
11일차,수사,백,"百 (ひゃく)"
11일차,명사,백점,"百点 (ひゃくてん)"
11일차,명사,병원,"病院 (びょういん)"
11일차,명사,병,"病気 (びょうき)"
11일차,명사,낮,"昼 (ひる)"
11일차,명사,점심밥,"昼ご飯 (ひるごはん)"
11일차,명사,옷,"服 (ふく)"
11일차,명사,겨울,"冬 (ふゆ)"
11일차,명사,방,"部屋 (へや)"
11일차,명사,공부,"勉強 (べんきょう)"
11일차,명사,"쪽, 방향","方 (ほう)"
12일차,명사,모자,"帽子 (ぼうし)"
12일차,명사,"그 외, 다른 것",ほか
12일차,명사,책,"本 (ほん)"
12일차,명사,매일 아침,"毎朝 (まいあさ)"
12일차,명사,"매월, 매달","毎月 (まいつき)"
12일차,명사,매주,"毎週 (まいしゅう)"
12일차,명사,매일,"毎日 (まいにち)"
12일차,명사,매년,"毎年 (まいとし)"
12일차,명사,매일 밤,"毎晩 (まいばん)"
12일차,명사,앞,"前 (まえ)"
12일차,명사,"마을, 동네","町 (まち)"
12일차,명사,창문,"窓 (まど)"
12일차,명사,오른쪽,"右 (みぎ)"
12일차,명사,물,"水 (みず)"
12일차,명사,가게,"店 (みせ)"
12일차,명사,길,"道 (みち)"
12일차,명사,"녹색, 초록","緑 (みどり)"
12일차,대명사,여러분,みなさん
12일차,명사,남쪽,"南 (みなみ)"
12일차,명사,귀,"耳 (みみ)"
13일차,대명사,모두,みんな
13일차,명사,눈,"目 (め)"
13일차,명사,안경,めがね
13일차,명사,"것, 물건","物 (もの)"
13일차,명사,문,"門 (もん)"
13일차,명사,문제,"問題 (もんだい)"
13일차,명사,채소 가게,"八百屋 (やおや)"
13일차,명사,"채소, 야채","野菜 (やさい)"
13일차,명사,"휴일, 휴식","休み (やすみ)"
13일차,명사,산,"山 (やま)"
13일차,명사,저녁,"夕方 (ゆうがた)"
13일차,명사,저녁밥,"夕飯 (ゆうはん)"
13일차,명사,눈,"雪 (ゆき)"
13일차,명사,양복,"洋服 (ようふく)"
13일차,명사,옆,"横 (よこ)"
13일차,명사,밤,"夜 (よる)"
13일차,명사,다음 달,"来月 (らいげつ)"
13일차,명사,다음 주,"来週 (らいしゅう)"
13일차,명사,내년,"来年 (らいねん)"
13일차,명사,유학생,"留学生 (りゅうがくせい)"
13일차,명사,요리,"料理 (りょうり)"
13일차,명사,연습,"練習 (れんしゅう)"
13일차,대명사,"나, 저","私 (わたし)"
14일차,조수사,~개,"〜つ (〜つ)"
14일차,조수사,1개,"一つ (ひとつ)"
14일차,조수사,2개,"二つ (ふたつ)"
14일차,조수사,3개,"三つ (みっつ)"
14일차,조수사,4개,"四つ (よっつ)"
14일차,조수사,5개,"五つ (いつつ)"
14일차,조수사,6개,"六つ (むっつ)"
14일차,조수사,7개,"七つ (ななつ)"
14일차,조수사,8개,"八つ (やっつ)"
14일차,조수사,9개,"九つ (ここのつ)"
14일차,조수사,10개,"十 (とお)"
14일차,조수사,몇 개,いくつ
14일차,조수사,~개 (작은 사물),"〜個 (こ)"
14일차,조수사,1개,"一個 (いっこ)"
14일차,조수사,6개,"六個 (ろっこ)"
14일차,조수사,8개,"八個 (はっこ)"
14일차,조수사,10개,"十個 (じっこ)"
14일차,조수사,몇 개,"何個 (なんこ)"
14일차,조수사,~층,"〜階 (かい/がい)"
14일차,조수사,1층,"一階 (いっかい)"
14일차,조수사,3층,"三階 (さんがい)"
14일차,조수사,6층,"六階 (ろっかい)"
14일차,조수사,8층,"八階 (はっかい)"
14일차,조수사,10층,"十階 (じっかい)"
14일차,조수사,몇 층,"何階 (なんがい)"
15일차,조수사,"~회, ~번","〜回 (かい)"
15일차,조수사,1회,"一回 (いっかい)"
15일차,조수사,6회,"六回 (ろっかい)"
15일차,조수사,8회,"八回 (はっかい)"
15일차,조수사,10회,"十回 (じっかい)"
15일차,조수사,몇 번,"何回 (なんかい)"
15일차,조수사,~번 (번호),"〜番 (ばん)"
15일차,조수사,몇 번,"何番 (なんばん)"
15일차,조수사,~엔,"〜円 (えん)"
15일차,조수사,얼마,いくら
15일차,조수사,~년,"〜年 (ねん)"
15일차,조수사,4년,"四年 (よねん)"
15일차,조수사,몇 년,"何年 (なんねん)"
16일차,조수사,~월,"〜月 (がつ)"
16일차,조수사,4월,"四月 (しがつ)"
16일차,조수사,7월,"七月 (しちがつ)"
16일차,조수사,9월,"九月 (くがつ)"
16일차,조수사,몇 월,"何月 (なんがつ)"
16일차,조수사,~일,"〜日 (にち)"
16일차,조수사,1일,"一日 (ついたち)"
16일차,조수사,2일,"二日 (ふつか)"
16일차,조수사,3일,"三日 (みっか)"
16일차,조수사,4일,"四日 (よっか)"
16일차,조수사,5일,"五日 (いつか)"
16일차,조수사,6일,"六日 (むいか)"
16일차,조수사,7일,"七日 (なのか)"
16일차,조수사,8일,"八日 (ようか)"
16일차,조수사,9일,"九日 (ここのか)"
16일차,조수사,10일,"十日 (とおか)"
16일차,조수사,14일,"十四日 (じゅうよっか)"
16일차,조수사,20일,"二十日 (はつか)"
16일차,조수사,24일,"二十四日 (にじゅうよっか)"
16일차,조수사,며칠,"何日 (なんにち)"
16일차,조수사,~시,"〜時 (じ)"
16일차,조수사,4시,"四時 (よじ)"
16일차,조수사,7시,"七時 (しちじ)"
16일차,조수사,9시,"九時 (くじ)"
16일차,조수사,몇 시,"何時 (なんじ)"
17일차,조수사,~분,"〜分 (ふん/ぷん)"
17일차,조수사,1분,"一分 (いっぷん)"
17일차,조수사,3분,"三分 (さんぷん)"
17일차,조수사,4분,"四分 (よんぷん)"
17일차,조수사,6분,"六分 (ろっぷん)"
17일차,조수사,8분,"八分 (はっぷん)"
17일차,조수사,10분,"十分 (じゅっぷん)"
17일차,조수사,몇 분,"何分 (なんぷん)"
17일차,조수사,~요일,"〜曜日 (ようび)"
17일차,조수사,일요일,"日曜日 (にちようび)"
17일차,조수사,월요일,"月曜日 (げつようび)"
17일차,조수사,화요일,"火曜日 (かようび)"
17일차,조수사,수요일,"水曜日 (すいようび)"
17일차,조수사,목요일,"木曜日 (もくようび)"
17일차,조수사,금요일,"金曜日 (きんようび)"
17일차,조수사,토요일,"土曜日 (どようび)"
17일차,조수사,무슨 요일,"何曜日 (なんようび)"
17일차,조수사,~잔,"〜杯 (はい/ぱい/ばい)"
17일차,조수사,1잔,"一杯 (いっぱい)"
17일차,조수사,3잔,"三杯 (さんばい)"
17일차,조수사,6잔,"六杯 (ろっぱい)"
17일차,조수사,8잔,"八杯 (はっぱい)"
17일차,조수사,10잔,"十杯 (じゅっぱい)"
17일차,조수사,몇 잔,"何杯 (なんばい)"
17일차,조수사,~배,"〜倍 (ばい)"
17일차,조수사,몇 배,"何倍 (なんばい)"
18일차,조수사,~자루,"〜本 (ほん/ぽん/ぼん)"
18일차,조수사,1자루,"一本 (いっぽん)"
18일차,조수사,3자루,"三本 (さんぼん)"
18일차,조수사,6자루,"六本 (ろっぽん)"
18일차,조수사,8자루,"八本 (はっぽん)"
18일차,조수사,10자루,"十本 (じゅっぽん)"
18일차,조수사,몇 자루,"何本 (なんぼん)"
18일차,조수사,~장,"〜枚 (まい)"
18일차,조수사,몇 장,"何枚 (なんまい)"
18일차,조수사,~명,"〜人 (にん)"
18일차,조수사,1명,"一人 (ひとり)"
18일차,조수사,2명,"二人 (ふたり)"
18일차,조수사,4명,"四人 (よにん)"
18일차,조수사,몇 명,"何人 (なんにん)"
18일차,조수사,~마리,"〜匹 (ひき/ぴき/びき)"
18일차,조수사,1마리,"一匹 (いっぴき)"
18일차,조수사,3마리,"三匹 (さんびき)"
18일차,조수사,6마리,"六匹 (ろっぴき)"
18일차,조수사,8마리,"八匹 (はっぴき)"
18일차,조수사,10마리,"十匹 (じゅっぴき)"
18일차,조수사,몇 마리,"何匹 (なんびき)"
19일차,동사,만나다,"会う (あう)"
19일차,동사,"오르다, 올라가다","上がる (あがる)"
19일차,동사,열리다,"開く (あく)"
19일차,동사,열다,"開ける (あける)"
19일차,동사,주다 (남에게),"あげる (あげる)"
19일차,동사,놀다,"遊ぶ (あそぶ)"
19일차,동사,(샤워 등을) 하다,"あびる (あびる)"
19일차,동사,씻다,"洗う (あらう)"
19일차,동사,있다 (사물),"ある (ある)"
19일차,동사,걷다,"歩く (あるく)"
19일차,동사,말하다,"言う (いう)"
19일차,동사,가다,"行く (いく)"
19일차,동사,필요하다,"要る (いる)"
19일차,동사,있다 (사람, 동물),"いる (いる)"
19일차,동사,넣다,"入れる (いれる)"
19일차,동사,노래하다,"歌う (うたう)"
19일차,동사,태어나다,"生まれる (うまれる)"
19일차,동사,팔다,"売る (うる)"
19일차,동사,일어나다,"起きる (おきる)"
19일차,동사,두다,"置く (おく)"
19일차,동사,가르치다,"教える (おしえる)"
19일차,동사,누르다,"押す (おす)"
19일차,동사,"외우다, 기억하다","覚える (おぼえる)"
20일차,동사,헤엄치다,"泳ぐ (およぐ)"
20일차,동사,내리다,"降りる (おりる)"
20일차,동사,끝나다,"終わる (おわる)"
20일차,동사,사다,"買う (かう)"
20일차,동사,돌려주다,"返す (かえす)"
20일차,동사,"돌아가다, 돌아오다","帰る (かえる)"
20일차,동사,(시간, 돈이) 걸리다,"かかる (かかる)"
20일차,동사,쓰다,"書く (かく)"
20일차,동사,빌려주다,"貸す (かす)"
20일차,동사,(모자를) 쓰다,"かぶる (かぶる)"
20일차,동사,빌리다,"借りる (かりる)"
20일차,동사,꺼지다,"消える (きえる)"
20일차,동사,"듣다, 묻다","聞く (きく)"
20일차,동사,오다,"来る (くる)"
20일차,동사,끄다,"消す (けす)"
20일차,동사,대답하다,"答える (こたえる)"
20일차,동사,곤란하다,"困る (こまる)"
20일차,동사,피다,"咲く (さく)"
20일차,동사,죽다,"死ぬ (しぬ)"
20일차,동사,닫히다,"閉まる (しまる)"
20일차,동사,(넥타이 등을) 매다,"締める (しめる)"
20일차,동사,닫다,"閉める (しめる)"
20일차,동사,"피우다, 마시다","吸う (すう)"
20일차,동사,살다,"住む (すむ)"
20일차,동사,하다,"する (する)"
20일차,동사,앉다,"座る (すわる)"
21일차,동사,내다,"出す (だす)"
21일차,동사,서다,"立つ (たつ)"
21일차,동사,먹다,"食べる (たべる)"
21일차,동사,사용하다,"使う (つかう)"
21일차,동사,만들다,"作る (つくる)"
21일차,동사,외출하다,"出かける (でかける)"
21일차,동사,나가다,"出る (でる)"
21일차,동사,날다,"飛ぶ (とぶ)"
21일차,동사,(사진을) 찍다,"撮る (とる)"
21일차,동사,배우다,"習う (ならう)"
21일차,동사,"늘어놓다, 진열하다","並べる (ならべる)"
21일차,동사,자다,"寝る (ねる)"
21일차,동사,오르다,"登る (のぼる)"
21일차,동사,마시다,"飲む (のむ)"
21일차,동사,타다,"乗る (のる)"
21일차,동사,들어가다,"入る (はいる)"
21일차,동사,시작되다,"始まる (はじまる)"
21일차,동사,이야기하다,"話す (はなす)"
21일차,동사,(악기를) 연주하다,"弾く (ひく)"
21일차,동사,(비, 눈이) 내리다,"降る (ふる)"
21일차,동사,구부러지다,"曲がる (まがる)"
21일차,동사,기다리다,"待つ (まつ)"
21일차,동사,닦다,"磨く (みがく)"
21일차,동사,보여주다,"見せる (みせる)"
21일차,동사,보다,"見る (みる)"
21일차,동사,"가지다, 들다","持つ (もつ)"
21일차,동사,받다,"もらう (もらう)"
21일차,동사,쉬다,"休む (やすむ)"
21일차,동사,부르다,"呼ぶ (よぶ)"
21일차,동사,읽다,"読む (よむ)"
21일차,동사,알다,"分かる (わかる)"
22일차,い형용사,파랗다,"青い (あおい)"
22일차,い형용사,빨갛다,"赤い (あかい)"
22일차,い형용사,밝다,"明るい (あかるい)"
22일차,い형용사,따뜻하다,"暖かい (あたたかい)"
22일차,い형용사,새롭다,"新しい (あたらしい)"
22일차,い형용사,덥다,"暑い (あつい)"
22일차,い형용사,위험하다,"危ない (あぶない)"
22일차,い형용사,달다,"甘い (あまい)"
22일차,い형용사,좋다,"いい/よい (いい/よい)"
22일차,い형용사,바쁘다,"忙しい (いそがしい)"
22일차,い형용사,아프다,"痛い (いたい)"
22일차,い형용사,"얇다, 연하다","薄い (うすい)"
22일차,い형용사,시끄럽다,うるさい
22일차,い형용사,맛있다,おいしい
22일차,い형용사,많다,"多い (おおい)"
22일차,い형용사,크다,"大きい (おおきい)"
22일차,い형용사,늦다,"遅い (おそい)"
22일차,い형용사,무겁다,"重い (おもい)"
22일차,い형용사,재미있다,おもしろい
22일차,い형용사,맵다,"辛い (からい)"
22일차,い형용사,가볍다,"軽い (かるい)"
22일차,い형용사,귀엽다,かわいい
22일차,い형용사,노랗다,"黄色い (きいろい)"
22일차,い형용사,더럽다,"汚い (きたない)"
23일차,い형용사,어둡다,"暗い (くらい)"
23일차,い형용사,검다,"黒い (くろい)"
23일차,い형용사,춥다,"寒い (さむい)"
23일차,い형용사,"희다, 하얗다","白い (しろい)"
23일차,い형용사,적다,"少ない (すくない)"
23일차,い형용사,좁다,"狭い (せまい)"
23일차,い형용사,"높다, 비싸다","高い (たかい)"
23일차,い형용사,즐겁다,"楽しい (たのしい)"
23일차,い형용사,작다,"小さい (ちいさい)"
23일차,い형용사,가깝다,"近い (ちかい)"
23일차,い형용사,"재미없다, 시시하다",つまらない
23일차,い형용사,강하다,"強い (つよい)"
24일차,い형용사,멀다,"遠い (とおい)"
24일차,い형용사,없다,ない
24일차,い형용사,길다,"長い (ながい)"
24일차,い형용사,"빠르다, 이르다","速い/早い (はやい)"
24일차,い형용사,낮다,"低い (ひくい)"
24일차,い형용사,넓다,"広い (ひろい)"
24일차,い형용사,"낡다, 오래되다","古い (ふるい)"
24일차,い형용사,맛없다,まずい
24일차,い형용사,둥글다,"丸い (まるい)"
24일차,い형용사,짧다,"短い (みじかい)"
24일차,い형용사,어렵다,"難しい (むずかしい)"
24일차,い형용사,싸다,"安い (やすい)"
24일차,い형용사,약하다,"弱い (よわい)"
24일차,い형용사,젊다,"若い (わかい)"
24일차,い형용사,나쁘다,"悪い (わるい)"
25일차,な형용사,저런,あんな
25일차,な형용사,싫은,いやな
25일차,な형용사,여러 가지,いろいろな
25일차,な형용사,큰,"大きな (おおきな)"
25일차,な형용사,같은,"同じな (おなじな)"
25일차,な형용사,간단한,"簡単な (かんたんな)"
25일차,な형용사,싫어하는,きらいな
25일차,な형용사,"예쁜, 깨끗한",きれいな
25일차,な형용사,건강한,"元気な (げんきな)"
25일차,な형용사,이런,こんな
25일차,な형용사,조용한,"静かな (しずかな)"
25일차,な형용사,능숙한,"上手な (じょうずな)"
25일차,な형용사,튼튼한,"丈夫な (じょうぶな)"
25일차,な형용사,좋아하는,好きな
25일차,な형용사,그런,そんな
25일차,な형용사,괜찮은,"大丈夫な (だいじょうぶな)"
25일차,な형용사,매우 좋아하는,大好きな
25일차,な형용사,힘든,"大変な (たいへんな)"
25일차,な형용사,작은,"小さな (ちいさな)"
25일차,な형용사,어떤,どんな
25일차,な형용사,"번화한, 활기찬",にぎやかな
25일차,な형용사,한가한,ひまな
25일차,な형용사,편리한,"便利な (べんりな)"
25일차,な형용사,유명한,"有名な (ゆうめいな)"
26일차,부사,"그다지, 별로",あまり
26일차,부사,"가장, 제일","一番 (いちばん)"
26일차,부사,"함께, 같이",いっしょに
26일차,부사,"언제나, 항상",いつも
26일차,부사,많이 (사람 수),おおぜい
26일차,부사,"곧, 바로",すぐ
26일차,부사,"조금, 약간","少し (すこし)"
26일차,부사,전부,"全部 (ぜんぶ)"
26일차,부사,"매우, 몹시",たいへん
26일차,부사,많이,たくさん
26일차,부사,점점,だんだん
26일차,부사,"잠깐, 조금",ちょっと
26일차,부사,어때,どう
26일차,부사,"왜, 어째서",どうして
26일차,부사,"부디, 아무쪼록",どうぞ
26일차,부사,"정말, 매우",どうも
26일차,부사,"때때로, 가끔","時々 (ときどき)"
26일차,부사,"매우, 아주",とても
26일차,부사,"왜, 어째서",なぜ
26일차,부사,또,また
26일차,부사,아직,まだ
26일차,부사,똑바로,まっすぐ
26일차,부사,한번 더,"もう一度 (もういちど)"
26일차,부사,"좀 더, 더욱",もっと
26일차,부사,천천히,ゆっくり
27일차,연체사,저,あの
27일차,연체사,이,この
27일차,연체사,그,その
27일차,연체사,어느,どの
27일차,기타,"~정도, ~쯤","~くらい/ぐらい"
27일차,기타,~씩,~ずつ
27일차,기타,"~만, ~뿐",~だけ
27일차,기타,"하지만, 그렇지만",でも
27일차,외래어,아파트,アパート
27일차,외래어,엘리베이터,エレベーター
27일차,외래어,컵,カップ
27일차,외래어,카메라,カメラ
27일차,외래어,"캘린더, 달력",カレンダー
27일차,외래어,기타,ギター
27일차,외래어,"클래스, 반",クラス
27일차,외래어,유리컵,グラス
27일차,외래어,코트,コート
27일차,외래어,커피,コーヒー
27일차,외래어,컵,コップ
27일차,외래어,복사,コピー
28일차,외래어,셔츠,シャツ
28일차,외래어,샤워,シャワー
28일차,외래어,"스커트, 치마",スカート
28일차,외래어,"스토브, 난로",ストーブ
28일차,외래어,스푼,スプーン
28일차,외래어,스포츠,スポーツ
28일차,외래어,바지,ズボン
28일차,외래어,스웨터,セーター
28일차,외래어,"제로, 0",ゼロ
28일차,외래어,택시,タクシー
28일차,외래어,테이프,テープ
28일차,외래어,테이블,テーブル
29일차,외래어,테스트,テスト
29일차,외래어,백화점,デパート
29일차,외래어,텔레비전,テレビ
29일차,외래어,문,ドア
29일차,외래어,화장실,トイレ
29일차,외래어,"나이프, 칼",ナイフ
29일차,외래어,넥타이,ネクタイ
29일차,외래어,"노트, 공책",ノート
29일차,외래어,파티,パーティー
29일차,외래어,버스,バス
29일차,외래어,빵,パン
29일차,외래어,손수건,ハンカチ
29일차,외래어,빌딩,ビル
29일차,외래어,펜,ペン
29일차,외래어,볼펜,ボールペン
29일차,외래어,"포켓, 주머니",ポケット
29일차,외래어,"버튼, 단추",ボタン
29일차,외래어,호텔,ホテル
29일차,외래어,미터,メートル
29일차,외래어,라디오,ラジオ
29일차,외래어,레스토랑,レストラン
30일차,인사,감사합니다,ありがとうございます
30일차,인사,아니요,いいえ
30일차,인사,잘 먹겠습니다,いただきます
30일차,인사,어서 오세요,いらっしゃいませ
30일차,인사,부탁합니다,おねがいします
30일차,인사,안녕하세요 (아침),おはようございます
30일차,인사,안녕히 주무세요,"お休みなさい (おやすみなさい)"
30일차,인사,잘 먹었습니다,ごちそうさまでした
