일차,구분,뜻,표기
1일차,명사,가을,"秋 (あき)"
1일차,명사,아침,"朝 (あさ)"
1일차,명사,아침밥,"朝ご飯 (あさごはん)"
1일차,명사,모레,あさって
1일차,명사,"발, 다리","足 (あし)"
1일차,명사,내일,"明日 (あした)"
1일차,대명사,"저기, 저쪽",あそこ
1일차,명사,머리,"頭 (あたま)"
1일차,대명사,저쪽 (정중),あちら
1일차,명사,"뒤, 후","後 (あと)"
1일차,대명사,당신,あなた
1일차,명사,"형, 오빠","兄 (あに)"
1일차,명사,"누나, 언니","姉 (あね)"
1일차,명사,비,"雨 (あめ)"
1일차,명사,집,"家 (いえ)"
1일차,의문사,몇 개,いくつ
1일차,의문사,얼마,いくら
1일차,명사,연못,"池 (いけ)"
1일차,명사,의사,"医者 (いしゃ)"
1일차,명사,의자,いす
2일차,명사,"하루, 1일","一日 (いちにち)"
2일차,의문사,언제,いつ
2일차,명사,1주일,"一週間 (いっしゅうかん)"
2일차,명사,개,"犬 (いぬ)"
2일차,명사,지금,"今 (いま)"
2일차,명사,의미,"意味 (いみ)"
2일차,명사,여동생,"妹 (いもうと)"
2일차,명사,입구,"入り口 (いりぐち)"
2일차,명사,색,"色 (いろ)"
2일차,명사,위,"上 (うえ)"
2일차,명사,뒤,"後ろ (うしろ)"
2일차,명사,노래,"歌 (うた)"
2일차,명사,바다,"海 (うみ)"
2일차,명사,"겉옷, 상의","上着 (うわぎ)"
2일차,명사,그림,"絵 (え)"
2일차,명사,영화,"映画 (えいが)"
2일차,명사,영어,"英語 (えいご)"
2일차,명사,역,"駅 (えき)"
2일차,명사,연필,"鉛筆 (えんぴつ)"
2일차,명사,어머니,"お母さん (おかあさん)"
2일차,명사,과자,"お菓子 (おかし)"
3일차,명사,돈,"お金 (おかね)"
3일차,명사,손님,"お客さん (おきゃくさん)"
3일차,명사,"부인, 아내","奥さん (おくさん)"
3일차,명사,술,"お酒 (おさけ)"
3일차,명사,접시,"お皿 (おさら)"
3일차,명사,할아버지,おじいさん
3일차,명사,아저씨,おじさん
3일차,명사,차,"お茶 (おちゃ)"
3일차,명사,아버지,"お父さん (おとうさん)"
3일차,명사,남동생,"弟 (おとうと)"
3일차,명사,남자,"男 (おとこ)"
3일차,명사,남자아이,"男の子 (おとこのこ)"
3일차,명사,남자,"男の人 (おとこのひと)"
3일차,명사,"엊그제, 그저께",おととい
3일차,명사,재작년,おととし
3일차,명사,어른,"大人 (おとな)"
3일차,명사,배,"お腹 (おなか)"
3일차,명사,"형, 오빠","お兄さん (おにいさん)"
3일차,명사,"누나, 언니","お姉さん (おねえさん)"
3일차,명사,할머니,おばあさん
3일차,명사,아주머니,おばさん
3일차,명사,"목욕, 욕실","お風呂 (おふろ)"
4일차,명사,도시락,"お弁当 (おべんとう)"
4일차,명사,경찰관,おまわりさん
4일차,명사,음악,"音楽 (おんがく)"
4일차,명사,여자,"女 (おんな)"
4일차,명사,여자아이,"女の子 (おんなのこ)"
4일차,명사,여자,"女の人 (おんなのひと)"
4일차,명사,외국인,"外国人 (がいこくじん)"
4일차,명사,회사,"会社 (かいしゃ)"
4일차,명사,회사원,"会社員 (かいしゃいん)"
4일차,명사,계단,"階段 (かいだん)"
4일차,명사,쇼핑,"買い物 (かいもの)"
4일차,명사,얼굴,"顔 (かお)"
4일차,명사,열쇠,かぎ
4일차,명사,학생,"学生 (がくせい)"
4일차,명사,우산,かさ
4일차,명사,바람,"風 (かぜ)"
4일차,명사,감기,"風邪 (かぜ)"
4일차,명사,가족,"家族 (かぞく)"
4일차,명사,학교,"学校 (がっこう)"
4일차,명사,모퉁이,"角 (かど)"
5일차,명사,가방,かばん
5일차,명사,꽃병,"花瓶 (かびん)"
5일차,명사,종이,"紙 (かみ)"
5일차,명사,"몸, 신체","体 (からだ)"
5일차,명사,강,"川 (かわ)"
5일차,명사,한자,"漢字 (かんじ)"
5일차,명사,나무,"木 (き)"
5일차,명사,북쪽,"北 (きた)"
5일차,명사,"찻집, 카페","喫茶店 (きっさてん)"
5일차,명사,우표,"切手 (きって)"
5일차,명사,표,"切符 (きっぷ)"
5일차,명사,어제,"昨日 (きのう)"
5일차,명사,소고기,"牛肉 (ぎゅうにく)"
5일차,명사,우유,"牛乳 (ぎゅうにゅう)"
5일차,명사,오늘,"今日 (きょう)"
5일차,명사,교실,"教室 (きょうしつ)"
5일차,명사,형제,"兄弟 (きょうだい)"
5일차,명사,작년,"去年 (きょねん)"
5일차,명사,은행,"銀行 (ぎんこう)"
5일차,명사,약,"薬 (くすり)"
5일차,명사,과일,"果物 (くだもの)"
6일차,명사,구두,"靴 (くつ)"
6일차,명사,양말,"靴下 (くつした)"
6일차,명사,나라,"国 (くに)"
6일차,명사,"차, 자동차","車 (くるま)"
6일차,명사,경관,"警官 (けいかん)"
6일차,명사,오늘 아침,"今朝 (けさ)"
6일차,명사,결혼,"結婚 (けっこん)"
6일차,명사,공원,"公園 (こうえん)"
6일차,명사,홍차,"紅茶 (こうちゃ)"
6일차,명사,파출소,"交番 (こうばん)"
6일차,명사,목소리,"声 (こえ)"
6일차,대명사,여기,ここ
6일차,명사,오후,"午後 (ごご)"
6일차,명사,오전,"午前 (ごぜん)"
6일차,대명사,이쪽 (정중),こちら
6일차,명사,올해,"今年 (ことし)"
6일차,명사,아이,"子ども (こども)"
6일차,명사,밥,"ご飯 (ごはん)"
6일차,대명사,이것,これ
6일차,명사,이번 달,"今月 (こんげつ)"
6일차,명사,이번 주,"今週 (こんしゅう)"
6일차,명사,오늘 밤,"今晩 (こんばん)"
7일차,명사,"최후, 마지막","最後 (さいご)"
7일차,명사,지갑,"財布 (さいふ)"
7일차,명사,생선,"魚 (さかな)"
